Note and Octave Divisor;Midi Note;Delay as integers(rounding);Delay = sf/f;Given Frequency at MIDI Note;Error in Cents(rounding);Output Frequency(roundig) ;Error in Percent(rounding)
;0;"f0=fS/(N+1/2)
";6000;2^(NOTE−9)÷12)×13,75 ;f2 / f1 to cents :  1200 × 3.322038403 log10 (f2 / f1);;
C;0;734;734,373235130515;8,17579891564371;109,5735;7,6744;6,53357720721605 %
Db;1;693;693,184095404305;8,66195721802725;103,7747;8,1580;6,17734769776043 %
D;2;654;654,306724455279;9,17702399741899;97,5357;8,6743;5,79541149853723 %
Eb;3;618;617,611372671896;9,72271824131503;94,0307;9,2087;5,58144215661023 %
E;4;583;582,975572728742;10,3008611535272;87,7819;9,7916;5,2010519839949 %
F;5;550;550,283730863217;10,9133822322814;81,9078;10,4091;4,84472013545423 %
G;6;519;519,426741092096;11,5623257097386;76,7903;11,0607;4,53526771804408 %
Gb;7;490;490,301621080454;12,2498573744297;72,8793;11,7449;4,29939380487465 %
Ab;8;463;462,811168447692;12,9782717993733;70,6995;12,4590;4,16815191314607 %
A;9;437;436,863636363636;13,75;66,7475;13,2300;3,93064083715299 %
Bb;10;412;412,372427352012;14,5676175474403;61,0216;14,0631;3,58747720996561 %
B;11;389;389,255804279421;15,4338531642539;58,1397;14,9242;3,41519043828713 %
C;12;367;367,436617565257;16,3515978312874;54,0743;15,8488;3,17263653541615 %
Db;13;347;346,842047702153;17,3239144360545;54,0871;16,7911;3,17340271708423 %
D;14;327;327,40336222764;18,354047994838;48,3441;17,8486;2,83172610831864 %
Eb;15;309;309,055686335948;19,4454364826301;47,6560;18,9175;2,79086259742859 %
E;16;292;291,737786364371;20,6017223070544;47,1743;20,0479;2,76226364297705 %
F;17;275;275,391865431609;21,8267644645627;40,8180;21,3182;2,38567552673356 %
G;18;260;259,963370546048;23,1246514194771;41,5007;22,5769;2,42605398746268 %
Gb;19;245;245,400810540227;24,4997147488593;36,4141;23,9898;2,12556552055357 %
Ab;20;232;231,655584223846;25,9565435987466;40,1123;25,3621;2,34395164699531 %
A;21;219;218,681818181818;27,5;38,3681;26,8973;2,24089635854342 %
Bb;22;206;206,436213676006;29,1352350948806;30,5147;28,6262;1,77816566975424 %
B;23;195;194,87790213971;30,8677063285078;33,8967;30,2692;1,97717465580708 %